timestamp,predicted_train,predicted_test,naive_prediction_test
2016-01-01,4.3668036,,
2016-01-02,,,
2016-01-03,,,
2016-01-04,4.735581,,
2016-01-05,4.732683,,
2016-01-06,4.725398,,
2016-01-07,4.7248964,,
2016-01-08,4.7246666,,
2016-01-09,,,
2016-01-10,,,
2016-01-11,4.7278147,,
2016-01-12,4.725904,,
2016-01-13,4.7328653,,
2016-01-14,4.7468066,,
2016-01-15,4.743485,,
2016-01-16,,,
2016-01-17,,,
2016-01-18,4.7457767,,
2016-01-19,4.735397,,
2016-01-20,4.7365904,,
2016-01-21,4.733941,,
2016-01-22,4.7365937,,
2016-01-23,,,
2016-01-24,,,
2016-01-25,4.7585893,,
2016-01-26,4.75687,,
2016-01-27,4.7570224,,
2016-01-28,4.742847,,
2016-01-29,4.7638044,,
2016-01-30,,,
2016-01-31,,,
2016-02-01,4.769081,,
2016-02-02,4.775022,,
2016-02-03,4.781224,,
2016-02-04,4.7779374,,
2016-02-05,4.7674766,,
2016-02-06,,,
2016-02-07,,,
2016-02-08,4.777393,,
2016-02-09,4.7739015,,
2016-02-10,4.777528,,
2016-02-11,4.7719607,,
2016-02-12,4.775502,,
2016-02-13,,,
2016-02-14,,,
2016-02-15,4.7846265,,
2016-02-16,4.784773,,
2016-02-17,4.778224,,
2016-02-18,4.7727523,,
2016-02-19,4.7715225,,
2016-02-20,,,
2016-02-21,,,
2016-02-22,4.778576,,
2016-02-23,4.7759194,,
2016-02-24,4.785593,,
2016-02-25,4.784621,,
2016-02-26,4.775307,,
2016-02-27,,,
2016-02-28,,,
2016-02-29,4.768962,,
2016-03-01,4.6619315,,
2016-03-02,4.708527,,
2016-03-03,4.6949396,,
2016-03-04,4.704086,,
2016-03-05,,,
2016-03-06,,,
2016-03-07,4.7001543,,
2016-03-08,4.680581,,
2016-03-09,4.6619596,,
2016-03-10,4.670103,,
2016-03-11,4.6693444,,
2016-03-12,,,
2016-03-13,,,
2016-03-14,4.6579847,,
2016-03-15,4.6636667,,
2016-03-16,4.661465,,
2016-03-17,4.6568923,,
2016-03-18,4.6853776,,
2016-03-19,,,
2016-03-20,,,
2016-03-21,4.6681314,,
2016-03-22,4.6682115,,
2016-03-23,4.653584,,
2016-03-24,4.654722,,
2016-03-25,4.5674486,,
2016-03-26,,,
2016-03-27,,,
2016-03-28,4.6553664,,
2016-03-29,4.658042,,
2016-03-30,4.660471,,
2016-03-31,4.651012,,
2016-04-01,4.6580844,,
2016-04-02,,,
2016-04-03,,,
2016-04-04,4.6564493,,
2016-04-05,4.667011,,
2016-04-06,4.670578,,
2016-04-07,4.6702943,,
2016-04-08,4.666598,,
2016-04-09,,,
2016-04-10,,,
2016-04-11,4.656697,,
2016-04-12,4.6539416,,
2016-04-13,4.6610627,,
2016-04-14,4.6617064,,
2016-04-15,4.663724,,
2016-04-16,,,
2016-04-17,,,
2016-04-18,4.6587405,,
2016-04-19,4.653697,,
2016-04-20,4.654901,,
2016-04-21,4.6541233,,
2016-04-22,4.6603327,,
2016-04-23,,,
2016-04-24,,,
2016-04-25,4.6610355,,
2016-04-26,4.6688795,,
2016-04-27,4.66258,,
2016-04-28,4.660229,,
2016-04-29,4.6623883,,
2016-04-30,,,
2016-05-01,,,
2016-05-02,4.561984,,
2016-05-03,4.65329,,
2016-05-04,4.6542163,,
