timestamp,predicted_train,predicted_test,naive_prediction_test
2016-01-01,4.3737116,,
2016-01-02,,,
2016-01-03,,,
2016-01-04,4.734862,,
2016-01-05,4.7294188,,
2016-01-06,4.7306294,,
2016-01-07,4.725739,,
2016-01-08,4.7275476,,
2016-01-09,,,
2016-01-10,,,
2016-01-11,4.7328777,,
2016-01-12,4.72893,,
2016-01-13,4.7357745,,
2016-01-14,4.7472415,,
2016-01-15,4.744052,,
2016-01-16,,,
2016-01-17,,,
2016-01-18,4.734894,,
2016-01-19,4.736274,,
2016-01-20,4.739341,,
2016-01-21,4.736798,,
2016-01-22,4.7392197,,
2016-01-23,,,
2016-01-24,,,
2016-01-25,4.758151,,
2016-01-26,4.756777,,
2016-01-27,4.7558303,,
2016-01-28,4.744022,,
2016-01-29,4.7625747,,
2016-01-30,,,
2016-01-31,,,
2016-02-01,4.7720523,,
2016-02-02,4.778318,,
2016-02-03,4.7816224,,
2016-02-04,4.780517,,
2016-02-05,4.7710023,,
2016-02-06,,,
2016-02-07,,,
2016-02-08,4.778941,,
2016-02-09,4.774736,,
2016-02-10,4.7782226,,
2016-02-11,4.7716537,,
2016-02-12,4.775329,,
2016-02-13,,,
2016-02-14,,,
2016-02-15,4.7799516,,
2016-02-16,4.782621,,
2016-02-17,4.777853,,
2016-02-18,4.7716346,,
2016-02-19,4.773296,,
2016-02-20,,,
2016-02-21,,,
2016-02-22,4.782663,,
2016-02-23,4.7782755,,
2016-02-24,4.783172,,
2016-02-25,4.7821145,,
2016-02-26,4.774223,,
2016-02-27,,,
2016-02-28,,,
2016-02-29,4.7749753,,
2016-03-01,4.663988,,
2016-03-02,4.7204704,,
2016-03-03,4.697122,,
2016-03-04,4.714045,,
2016-03-05,,,
2016-03-06,,,
2016-03-07,4.7080727,,
2016-03-08,4.680284,,
2016-03-09,4.659857,,
2016-03-10,4.668766,,
2016-03-11,4.667714,,
2016-03-12,,,
2016-03-13,,,
2016-03-14,4.6618905,,
2016-03-15,4.664024,,
2016-03-16,4.660758,,
