timestamp,predicted_train,predicted_test,naive_prediction_test
2016-01-01,4.3621755,,
2016-01-02,,,
2016-01-03,,,
2016-01-04,4.727408,,
2016-01-05,4.722946,,
2016-01-06,4.721835,,
2016-01-07,4.718832,,
2016-01-08,4.717985,,
2016-01-09,,,
2016-01-10,,,
2016-01-11,4.723987,,
2016-01-12,4.722141,,
2016-01-13,4.7302485,,
2016-01-14,4.7436023,,
2016-01-15,4.739751,,
2016-01-16,,,
2016-01-17,,,
2016-01-18,4.746666,,
2016-01-19,4.735051,,
2016-01-20,4.7369556,,
2016-01-21,4.7318196,,
2016-01-22,4.732343,,
2016-01-23,,,
2016-01-24,,,
2016-01-25,4.768208,,
2016-01-26,4.755907,,
2016-01-27,4.764571,,
2016-01-28,4.739026,,
2016-01-29,4.7733355,,
2016-01-30,,,
2016-01-31,,,
2016-02-01,4.77469,,
2016-02-02,4.781911,,
2016-02-03,4.785151,,
2016-02-04,4.7870483,,
2016-02-05,4.774146,,
2016-02-06,,,
2016-02-07,,,
2016-02-08,4.7825184,,
2016-02-09,4.776715,,
2016-02-10,4.7809787,,
2016-02-11,4.774989,,
2016-02-12,4.7787848,,
2016-02-13,,,
2016-02-14,,,
2016-02-15,4.783637,,
2016-02-16,4.786488,,
2016-02-17,4.780359,,
2016-02-18,4.7750516,,
2016-02-19,4.775873,,
2016-02-20,,,
2016-02-21,,,
2016-02-22,4.786704,,
2016-02-23,4.7807884,,
2016-02-24,4.7881565,,
2016-02-25,4.787067,,
2016-02-26,4.7773542,,
2016-02-27,,,
2016-02-28,,,
2016-02-29,4.76851,,
2016-03-01,4.6596303,,
2016-03-02,4.7234054,,
2016-03-03,4.699913,,
2016-03-04,4.7187896,,
2016-03-05,,,
2016-03-06,,,
2016-03-07,4.7104874,,
2016-03-08,4.6834383,,
2016-03-09,4.658259,,
2016-03-10,4.6691165,,
2016-03-11,4.66864,,
2016-03-12,,,
2016-03-13,,,
2016-03-14,4.65636,,
2016-03-15,4.661154,,
2016-03-16,4.659872,,
2016-03-17,4.6526947,,
2016-03-18,4.6903744,,
2016-03-19,,,
2016-03-20,,,
2016-03-21,4.667094,,
2016-03-22,4.6647286,,
2016-03-23,4.6507993,,
2016-03-24,4.6507864,,
2016-03-25,4.563831,,
2016-03-26,,,
2016-03-27,,,
2016-03-28,4.650619,,
2016-03-29,4.6533575,,
2016-03-30,4.6549115,,
2016-03-31,4.6456933,,
2016-04-01,4.652907,,
2016-04-02,,,
2016-04-03,,,
2016-04-04,4.647117,,
2016-04-05,4.6684027,,
2016-04-06,4.6666327,,
2016-04-07,4.66366,,
2016-04-08,4.6589994,,
2016-04-09,,,
2016-04-10,,,
2016-04-11,4.648224,,
2016-04-12,4.6543083,,
2016-04-13,4.6588078,,
2016-04-14,4.65858,,
2016-04-15,4.6601167,,
2016-04-16,,,
2016-04-17,,,
2016-04-18,4.6519146,,
2016-04-19,4.6483636,,
2016-04-20,4.6489415,,
2016-04-21,4.6502395,,
2016-04-22,4.658547,,
2016-04-23,,,
2016-04-24,,,
2016-04-25,4.6563816,,
2016-04-26,4.6671767,,
2016-04-27,4.662632,,
2016-04-28,4.654061,,
2016-04-29,4.6569457,,
2016-04-30,,,
2016-05-01,,,
2016-05-02,4.5612893,,
2016-05-03,4.6569414,,
2016-05-04,4.6584487,,
2016-05-05,4.6610274,,
2016-05-06,4.6659126,,
