timestamp,actual
2016-01-01,4.332710968780647
2016-01-02,
2016-01-03,
2016-01-04,4.660330358521448
2016-01-05,4.680458859623443
2016-01-06,4.661412123968182
2016-01-07,4.651861442163112
2016-01-08,4.654974783769324
2016-01-09,
2016-01-10,
2016-01-11,4.698184320294774
2016-01-12,4.699859625483122
2016-01-13,4.7140664852482965
2016-01-14,4.714130594349831
2016-01-15,4.78463585831431
2016-01-16,
2016-01-17,
2016-01-18,4.80340015550104
2016-01-19,4.8073391477081815
2016-01-20,4.79378310574492
2016-01-21,4.807478537078425
2016-01-22,4.784515266917286
2016-01-23,
2016-01-24,
2016-01-25,4.760065830716754
2016-01-26,4.764695261306177
2016-01-27,4.769881561307492
2016-01-28,4.7616097287221155
2016-01-29,4.757637683948876
2016-01-30,
2016-01-31,
2016-02-01,4.783002967511475
2016-02-02,4.792673883561623
2016-02-03,4.807113867723658
2016-02-04,4.796947542872318
2016-02-05,4.771940059520907
2016-02-06,
2016-02-07,
2016-02-08,4.798288751177301
2016-02-09,4.793753548312572
2016-02-10,4.806693365369031
2016-02-11,4.798689459378902
2016-02-12,4.795033385197367
2016-02-13,
2016-02-14,
2016-02-15,4.805013973538033
2016-02-16,4.79008286383857
2016-02-17,4.784589995880594
2016-02-18,4.769674981031216
2016-02-19,4.769083273828098
2016-02-20,
2016-02-21,
2016-02-22,4.782952628330156
2016-02-23,4.7907515897300055
2016-02-24,4.759357604164055
2016-02-25,4.795272156943005
2016-02-26,4.774343430293216
2016-02-27,
2016-02-28,
2016-02-29,4.7603158372072985
2016-03-01,4.790176690369254
2016-03-02,4.79192238069571
2016-03-03,4.781854975940957
2016-03-04,4.782154163866409
2016-03-05,
2016-03-06,
2016-03-07,4.791770083432366
2016-03-08,4.701316816476319
2016-03-09,4.667329525532966
2016-03-10,4.67351146497636
2016-03-11,4.653027621241867
2016-03-12,
2016-03-13,
2016-03-14,4.632995849908305
2016-03-15,4.632907174690571
2016-03-16,4.621857697434743
2016-03-17,4.6165356935072746
2016-03-18,4.6189837305020625
2016-03-19,
2016-03-20,
2016-03-21,4.653509670158025
2016-03-22,4.643945198203805
2016-03-23,4.642692131062781
2016-03-24,4.640833005059763
2016-03-25,4.558492819389311
2016-03-26,
2016-03-27,
2016-03-28,4.572668634157238
2016-03-29,4.5854436073589175
2016-03-30,4.5835621130975275
2016-03-31,4.618852721689739
2016-04-01,4.628682061987808
2016-04-02,
2016-04-03,
2016-04-04,4.625729513960065
2016-04-05,4.622874962585859
2016-04-06,4.632604636460639
2016-04-07,4.633112019345848
2016-04-08,4.62298588612534
2016-04-09,
2016-04-10,
2016-04-11,4.633754943214436
2016-04-12,4.629631428280074
2016-04-13,4.624084567618613
2016-04-14,4.629560746862476
2016-04-15,4.629072199835021
2016-04-16,
2016-04-17,
2016-04-18,4.632055047370362
2016-04-19,4.629041532931945
2016-04-20,4.638440047917052
2016-04-21,4.681308697213303
2016-04-22,4.679070339518314
2016-04-23,
2016-04-24,
2016-04-25,4.719902900742044
2016-04-26,4.721169504625121
2016-04-27,4.701699617673403
2016-04-28,4.698028198027499
2016-04-29,4.699061944005964
2016-04-30,
2016-05-01,
2016-05-02,4.587061494010911
2016-05-03,4.700116968538739
2016-05-04,4.7037468791957275
2016-05-05,4.701449137372181
2016-05-06,4.697391827700095
2016-05-07,
2016-05-08,
2016-05-09,4.702430318400818
2016-05-10,4.711618831401797
2016-05-11,4.71067291505329
2016-05-12,4.711741502757303
2016-05-13,4.681138317706659
2016-05-14,
2016-05-15,
2016-05-16,4.6584893938534115
2016-05-17,4.669658555043544
2016-05-18,4.658533247316932
2016-05-19,4.656732482156612
2016-05-20,4.646386851163844
2016-05-21,
2016-05-22,
2016-05-23,4.595291965946817
2016-05-24,4.600581532380725
2016-05-25,4.60733975898774
2016-05-26,4.655648032925417
2016-05-27,4.652610088681473
2016-05-28,
2016-05-29,
2016-05-30,4.489900502480432
2016-05-31,4.625290895507481
2016-06-01,4.6232328929377955
2016-06-02,4.595488898013188
2016-06-03,4.573191970962186
2016-06-04,
2016-06-05,
2016-06-06,4.549269740222673
2016-06-07,4.5528915914510755
2016-06-08,4.548933247528613
2016-06-09,4.518219268688972
2016-06-10,4.520996707659116
2016-06-11,
2016-06-12,
2016-06-13,4.524916680901578
2016-06-14,4.520190950484004
2016-06-15,4.520691005791843
2016-06-16,4.521650414026778
2016-06-17,4.50288751655094
2016-06-18,
2016-06-19,
2016-06-20,4.542442974351408
2016-06-21,4.551012348646194
2016-06-22,4.551257851980398
2016-06-23,4.557142551945363
2016-06-24,4.520049001132909
2016-06-25,
2016-06-26,
2016-06-27,4.529693844040983
2016-06-28,4.538262434006378
2016-06-29,4.532231022454047
2016-06-30,4.526691813382749
2016-07-01,4.502978299773081
2016-07-02,
2016-07-03,
2016-07-04,4.468673888660799
2016-07-05,4.532060215141678
2016-07-06,4.534505910436509
2016-07-07,4.495634726109831
2016-07-08,4.523882324918858
2016-07-09,
2016-07-10,
2016-07-11,4.508940212610891
2016-07-12,4.509119027323482
2016-07-13,4.503597197539252
2016-07-14,4.506720899191319
2016-07-15,4.49772260914755
2016-07-16,
2016-07-17,
2016-07-18,4.573453235617041
2016-07-19,4.654439221559861
2016-07-20,4.64245827385622
2016-07-21,4.599881554355068
2016-07-22,4.594540483628368
2016-07-23,
2016-07-24,
2016-07-25,4.590268222556105
2016-07-26,4.51247875437501
2016-07-27,4.524602567319006
2016-07-28,4.520739443940185
2016-07-29,4.515884266498134
2016-07-30,
2016-07-31,
2016-08-01,4.498317639581673
