timestamp,predicted_train,predicted_test,naive_prediction_test
2016-01-01,4.471022,,
2016-01-02,,,
2016-01-03,,,
2016-01-04,4.7399144,,
2016-01-05,4.736895,,
2016-01-06,4.7388673,,
2016-01-07,4.7355466,,
2016-01-08,4.73791,,
2016-01-09,,,
2016-01-10,,,
2016-01-11,4.7415485,,
2016-01-12,4.7347565,,
2016-01-13,4.7384806,,
2016-01-14,4.74414,,
2016-01-15,4.746164,,
2016-01-16,,,
2016-01-17,,,
2016-01-18,4.634474,,
2016-01-19,4.730403,,
2016-01-20,4.7376156,,
2016-01-21,4.7401495,,
2016-01-22,4.7396417,,
2016-01-23,,,
2016-01-24,,,
2016-01-25,4.742622,,
2016-01-26,4.7473726,,
2016-01-27,4.7482657,,
2016-01-28,4.745503,,
2016-01-29,4.7470274,,
2016-01-30,,,
2016-01-31,,,
2016-02-01,4.782031,,
2016-02-02,4.7775407,,
2016-02-03,4.780561,,
2016-02-04,4.7834296,,
2016-02-05,4.773885,,
2016-02-06,,,
2016-02-07,,,
2016-02-08,4.778187,,
2016-02-09,4.7741847,,
2016-02-10,4.7767367,,
2016-02-11,4.7694902,,
2016-02-12,4.7729573,,
2016-02-13,,,
2016-02-14,,,
2016-02-15,4.7699018,,
2016-02-16,4.782031,,
2016-02-17,4.77655,,
2016-02-18,4.770998,,
2016-02-19,4.772324,,
2016-02-20,,,
2016-02-21,,,
2016-02-22,4.7818284,,
2016-02-23,4.776881,,
2016-02-24,4.7815948,,
2016-02-25,4.781834,,
2016-02-26,4.7751484,,
2016-02-27,,,
2016-02-28,,,
2016-02-29,4.782031,,
2016-03-01,4.6721916,,
2016-03-02,4.6713176,,
2016-03-03,4.668023,,
2016-03-04,4.668561,,
2016-03-05,,,
2016-03-06,,,
2016-03-07,4.6721916,,
2016-03-08,4.672082,,
2016-03-09,4.6721916,,
2016-03-10,4.672082,,
2016-03-11,4.6721916,,
2016-03-12,,,
2016-03-13,,,
2016-03-14,4.6721916,,
2016-03-15,4.6721916,,
2016-03-16,4.6721916,,
2016-03-17,4.6721916,,
2016-03-18,4.6721916,,
2016-03-19,,,
2016-03-20,,,
2016-03-21,4.6713324,,
2016-03-22,4.6706295,,
2016-03-23,4.6721916,,
2016-03-24,4.6721916,,
2016-03-25,4.5800576,,
2016-03-26,,,
2016-03-27,,,
2016-03-28,4.6721916,,
2016-03-29,4.6721916,,
2016-03-30,4.6721916,,
2016-03-31,4.6721916,,
2016-04-01,4.6546025,,
2016-04-02,,,
2016-04-03,,,
2016-04-04,4.6530395,,
2016-04-05,4.654367,,
2016-04-06,4.6546025,,
2016-04-07,4.6546025,,
2016-04-08,4.6546025,,
2016-04-09,,,
2016-04-10,,,
2016-04-11,4.6546025,,
2016-04-12,4.6546025,,
2016-04-13,4.6546025,,
2016-04-14,4.6546025,,
2016-04-15,4.6546025,,
2016-04-16,,,
2016-04-17,,,
2016-04-18,4.6546025,,
2016-04-19,4.6546025,,
2016-04-20,4.6546025,,
2016-04-21,4.6546025,,
2016-04-22,4.6546025,,
2016-04-23,,,
2016-04-24,,,
2016-04-25,4.6546025,,
2016-04-26,4.6546025,,
2016-04-27,4.6546025,,
2016-04-28,4.6546025,,
2016-04-29,4.6546025,,
2016-04-30,,,
2016-05-01,,,
2016-05-02,4.5651627,,
2016-05-03,4.6593537,,
2016-05-04,4.6593537,,
2016-05-05,4.6593537,,
2016-05-06,4.6593537,,
2016-05-07,,,
2016-05-08,,,
2016-05-09,4.6593537,,
2016-05-10,4.6593537,,
2016-05-11,4.6593537,,
2016-05-12,4.6593537,,
2016-05-13,4.6593537,,
2016-05-14,,,
2016-05-15,,,
2016-05-16,4.6593537,,
2016-05-17,4.6593537,,
2016-05-18,4.6593537,,
2016-05-19,4.6593537,,
2016-05-20,4.6593537,,
2016-05-21,,,
2016-05-22,,,
2016-05-23,4.6593537,,
2016-05-24,4.6593537,,
2016-05-25,4.659207,,
2016-05-26,4.6593537,,
2016-05-27,4.6593537,,
2016-05-28,,,
2016-05-29,,,
2016-05-30,4.5116444,,
2016-05-31,4.6593537,,
2016-06-01,4.538931,,
2016-06-02,4.538931,,
2016-06-03,4.538931,,
2016-06-04,,,
2016-06-05,,,
2016-06-06,4.538931,,
2016-06-07,4.538931,,
2016-06-08,4.538931,,
2016-06-09,4.538931,,
2016-06-10,4.538931,,
2016-06-11,,,
2016-06-12,,,
2016-06-13,4.538931,,
2016-06-14,4.538931,,
2016-06-15,4.538931,,
2016-06-16,4.538931,,
2016-06-17,4.538931,,
2016-06-18,,,
2016-06-19,,,
2016-06-20,4.538931,,
2016-06-21,4.538931,,
2016-06-22,4.538931,,
2016-06-23,4.538931,,
2016-06-24,4.538931,,
2016-06-25,,,
2016-06-26,,,
2016-06-27,4.538931,,
2016-06-28,4.538931,,
2016-06-29,4.538931,,
2016-06-30,4.538931,,
2016-07-01,4.5463433,,
2016-07-02,,,
2016-07-03,,,
2016-07-04,4.4884768,,
2016-07-05,4.543086,,
2016-07-06,4.543086,,
2016-07-07,4.5413303,,
2016-07-08,4.543086,,
2016-07-09,,,
2016-07-10,,,
2016-07-11,4.543086,,
2016-07-12,4.543086,,
2016-07-13,4.543086,,
2016-07-14,4.543086,,
2016-07-15,4.543086,,
2016-07-16,,,
2016-07-17,,,
2016-07-18,4.543086,,
2016-07-19,4.544969,,
2016-07-20,4.543086,,
2016-07-21,4.543086,,
2016-07-22,4.543086,,
2016-07-23,,,
2016-07-24,,,
2016-07-25,4.543086,,
2016-07-26,4.543086,,
2016-07-27,4.543025,,
2016-07-28,4.543086,,
2016-07-29,4.5428276,,
2016-07-30,,,
2016-07-31,,,
2016-08-01,4.536077,,
2016-08-02,4.5371537,,
2016-08-03,4.5416,,
2016-08-04,4.5416,,
2016-08-05,4.5386095,,
2016-08-06,,,
2016-08-07,,,
2016-08-08,4.536077,,
2016-08-09,4.536077,,
2016-08-10,4.536077,,
2016-08-11,4.536077,,
2016-08-12,4.536077,,
2016-08-13,,,
2016-08-14,,,
2016-08-15,4.536077,,
2016-08-16,4.535035,,
2016-08-17,4.536077,,
2016-08-18,4.536077,,
2016-08-19,4.536077,,
2016-08-20,,,
2016-08-21,,,
2016-08-22,4.536077,,
2016-08-23,4.536077,,
2016-08-24,4.536077,,
2016-08-25,4.536077,,
2016-08-26,4.536077,,
2016-08-27,,,
2016-08-28,,,
2016-08-29,4.536077,,
2016-08-30,4.536077,,
2016-08-31,4.536077,,
2016-09-01,4.6036854,,
2016-09-02,4.6036854,,
2016-09-03,,,
2016-09-04,,,
2016-09-05,4.528811,,
2016-09-06,4.6036854,,
2016-09-07,4.6036854,,
2016-09-08,4.6036854,,
2016-09-09,4.6036587,,
2016-09-10,,,
2016-09-11,,,
2016-09-12,4.6036854,,
2016-09-13,4.6036854,,
2016-09-14,4.6036854,,
2016-09-15,4.6036854,,
2016-09-16,4.6036854,,
2016-09-17,,,
2016-09-18,,,
2016-09-19,4.6034155,,
2016-09-20,4.6036854,,
2016-09-21,4.6036854,,
2016-09-22,4.6036854,,
2016-09-23,4.6036854,,
2016-09-24,,,
2016-09-25,,,
2016-09-26,4.6036854,,
2016-09-27,4.6036854,,
2016-09-28,4.6039124,,
2016-09-29,4.6036854,,
2016-09-30,4.6036854,,
2016-10-01,,,
2016-10-02,,,
2016-10-03,4.669292,,
2016-10-04,4.669292,,
2016-10-05,4.669292,,
2016-10-06,4.669292,,
2016-10-07,4.669292,,
2016-10-08,,,
2016-10-09,,,
2016-10-10,4.663464,,
2016-10-11,4.6687927,,
2016-10-12,4.669292,,
2016-10-13,4.669292,,
2016-10-14,4.669292,,
2016-10-15,,,
2016-10-16,,,
2016-10-17,4.669292,,
2016-10-18,4.67001,,
2016-10-19,4.669292,,
2016-10-20,4.669292,,
2016-10-21,4.669292,,
2016-10-22,,,
2016-10-23,,,
2016-10-24,4.669292,,
2016-10-25,4.669292,,
2016-10-26,4.667475,,
2016-10-27,4.667133,,
2016-10-28,4.6687846,,
2016-10-29,,,
2016-10-30,,,
2016-10-31,4.669292,,
2016-11-01,4.65958,4.7299023,4.688186587317535
2016-11-02,,4.703839,4.688186587317535
2016-11-03,,4.70415,4.688186587317535
2016-11-04,,4.70415,4.688186587317535
2016-11-05,,,
2016-11-06,,,
