Fold,MSE_test_naive,R2_test_naive,MAE_test_naive
1,1.4459245457972616,-0.000920213935167391,0.9556746124110977
2,1.8046336822724731,-0.004561568058948584,1.026034906206228
3,1.9077239195003715,-0.013003126083263039,1.0675275650643739
4,1.621952491769121,-0.0016224004953506732,0.9805296684955662
5,1.3421114767023803,-2.758701941840691e-05,0.916615807632101
