timestamp,predicted_train,predicted_test,naive_prediction_test
2016-01-01,4.3622236,,
2016-01-02,,,
2016-01-03,,,
2016-01-04,4.7208004,,
2016-01-05,4.716998,,
2016-01-06,4.7153583,,
2016-01-07,4.711031,,
2016-01-08,4.7088404,,
2016-01-09,,,
2016-01-10,,,
2016-01-11,4.7180853,,
2016-01-12,4.7167797,,
2016-01-13,4.7277575,,
2016-01-14,4.746665,,
2016-01-15,4.7394514,,
2016-01-16,,,
2016-01-17,,,
2016-01-18,4.7455726,,
2016-01-19,4.7405214,,
2016-01-20,4.7371716,,
2016-01-21,4.7289934,,
2016-01-22,4.734923,,
2016-01-23,,,
2016-01-24,,,
2016-01-25,4.777872,,
2016-01-26,4.76145,,
2016-01-27,4.767555,,
2016-01-28,4.740324,,
2016-01-29,4.781385,,
2016-01-30,,,
2016-01-31,,,
2016-02-01,4.7779155,,
2016-02-02,4.786026,,
2016-02-03,4.7883887,,
2016-02-04,4.787943,,
2016-02-05,4.7757354,,
2016-02-06,,,
2016-02-07,,,
2016-02-08,4.7873178,,
2016-02-09,4.7769933,,
2016-02-10,4.7843986,,
2016-02-11,4.7788186,,
2016-02-12,4.7811217,,
2016-02-13,,,
2016-02-14,,,
2016-02-15,4.7864585,,
2016-02-16,4.790284,,
2016-02-17,4.783016,,
2016-02-18,4.7761354,,
2016-02-19,4.7799897,,
2016-02-20,,,
2016-02-21,,,
2016-02-22,4.7918105,,
2016-02-23,4.784249,,
2016-02-24,4.789431,,
2016-02-25,4.789804,,
2016-02-26,4.7783813,,
2016-02-27,,,
2016-02-28,,,
2016-02-29,4.7727313,,
2016-03-01,4.6578355,,
2016-03-02,4.732036,,
2016-03-03,4.701237,,
2016-03-04,4.718237,,
2016-03-05,,,
2016-03-06,,,
2016-03-07,4.710796,,
2016-03-08,4.685408,,
2016-03-09,4.6598196,,
2016-03-10,4.672289,,
2016-03-11,4.67094,,
2016-03-12,,,
2016-03-13,,,
2016-03-14,4.6555085,,
2016-03-15,4.6610293,,
2016-03-16,4.660074,,
2016-03-17,4.6486645,,
2016-03-18,4.692024,,
2016-03-19,,,
2016-03-20,,,
2016-03-21,4.6623664,,
2016-03-22,4.658005,,
2016-03-23,4.6502724,,
2016-03-24,4.6501055,,
2016-03-25,4.5750704,,
2016-03-26,,,
2016-03-27,,,
2016-03-28,4.6477427,,
2016-03-29,4.6490684,,
2016-03-30,4.6466517,,
2016-03-31,4.6383314,,
2016-04-01,4.647203,,
2016-04-02,,,
2016-04-03,,,
2016-04-04,4.6395645,,
2016-04-05,4.663406,,
2016-04-06,4.6650743,,
2016-04-07,4.666772,,
2016-04-08,4.654479,,
2016-04-09,,,
2016-04-10,,,
2016-04-11,4.6405087,,
2016-04-12,4.649597,,
2016-04-13,4.652295,,
2016-04-14,4.6515083,,
2016-04-15,4.657688,,
2016-04-16,,,
2016-04-17,,,
2016-04-18,4.6465487,,
2016-04-19,4.643579,,
2016-04-20,4.641367,,
2016-04-21,4.64314,,
2016-04-22,4.6596093,,
2016-04-23,,,
2016-04-24,,,
2016-04-25,4.6528683,,
2016-04-26,4.67132,,
2016-04-27,4.664019,,
2016-04-28,4.649525,,
2016-04-29,4.654371,,
2016-04-30,,,
2016-05-01,,,
2016-05-02,4.5786,,
2016-05-03,4.6809034,4.6440434,4.601578233811734
2016-05-04,,4.649026,4.601578233811734
2016-05-05,,4.654362,4.601578233811734
2016-05-06,,4.652653,4.601578233811734
2016-05-07,,,
2016-05-08,,,
2016-05-09,,4.6532745,4.601578233811734
2016-05-10,,4.6499214,4.601578233811734
2016-05-11,,4.6507173,4.601578233811734
2016-05-12,,4.655629,4.601578233811734
2016-05-13,,4.6532464,4.601578233811734
2016-05-14,,,
2016-05-15,,,
2016-05-16,,4.652527,4.601578233811734
2016-05-17,,4.6473575,4.601578233811734
2016-05-18,,4.641749,4.601578233811734
2016-05-19,,4.6476707,4.601578233811734
2016-05-20,,4.6546254,4.601578233811734
2016-05-21,,,
2016-05-22,,,
2016-05-23,,4.651872,4.601578233811734
2016-05-24,,4.6532745,4.601578233811734
2016-05-25,,4.64691,4.601578233811734
2016-05-26,,4.6585317,4.601578233811734
2016-05-27,,4.6598887,4.601578233811734
2016-05-28,,,
2016-05-29,,,
2016-05-30,,4.522864,4.601578233811734
2016-05-31,,4.6496634,4.601578233811734
2016-06-01,,4.6502986,4.601578233811734
2016-06-02,,4.6513143,4.601578233811734
2016-06-03,,4.651169,4.601578233811734
2016-06-04,,,
2016-06-05,,,
2016-06-06,,4.6612267,4.601578233811734
2016-06-07,,4.661387,4.601578233811734
2016-06-08,,4.6610765,4.601578233811734
2016-06-09,,4.657005,4.601578233811734
2016-06-10,,4.6611614,4.601578233811734
2016-06-11,,,
2016-06-12,,,
2016-06-13,,4.658391,4.601578233811734
2016-06-14,,4.657333,4.601578233811734
2016-06-15,,4.65712,4.601578233811734
2016-06-16,,4.654874,4.601578233811734
2016-06-17,,4.6587663,4.601578233811734
2016-06-18,,,
2016-06-19,,,
2016-06-20,,4.658558,4.601578233811734
2016-06-21,,4.661324,4.601578233811734
2016-06-22,,4.66051,4.601578233811734
2016-06-23,,4.661394,4.601578233811734
2016-06-24,,4.661313,4.601578233811734
2016-06-25,,,
2016-06-26,,,
2016-06-27,,4.6613193,4.601578233811734
2016-06-28,,4.6601224,4.601578233811734
2016-06-29,,4.6516557,4.601578233811734
2016-06-30,,4.6603966,4.601578233811734
2016-07-01,,4.6678433,4.601578233811734
