fold,train_mse,train_r2,train_mae,test_mse,test_r2,test_mae
2,0.01544780045227936,0.9886103979241938,0.0903021553477334,0.18532285047986835,0.8717129550856981,0.1918256259219284
3,0.021282935880649834,0.984830783956186,0.09825021384866299,0.29109675450439704,0.837959019032841,0.2119781566202503
4,0.03678318058832543,0.9760621795098062,0.11221948742280587,0.20104888655307743,0.8932428594661823,0.21108166583875684
5,0.04887413473611419,0.9699556181971475,0.12488080618618178,0.11785365849316061,0.9272205166759705,0.18960602784979666
6,0.04766237874987282,0.9706738499144906,0.1250749254152451,0.3787989523194746,0.7177511638718139,0.2541910343213595
