timestamp,predicted_train,predicted_test,naive_prediction_test
2016-01-01,4.371767,,
2016-01-02,,,
2016-01-03,,,
2016-01-04,4.7353797,,
2016-01-05,4.7307644,,
2016-01-06,4.7314253,,
2016-01-07,4.728022,,
2016-01-08,4.728662,,
2016-01-09,,,
2016-01-10,,,
2016-01-11,4.7339892,,
2016-01-12,4.7289085,,
2016-01-13,4.7349815,,
2016-01-14,4.744453,,
2016-01-15,4.741909,,
2016-01-16,,,
2016-01-17,,,
2016-01-18,4.7359366,,
2016-01-19,4.7299976,,
2016-01-20,4.7359567,,
2016-01-21,4.736104,,
2016-01-22,4.7406793,,
2016-01-23,,,
2016-01-24,,,
2016-01-25,4.76187,,
2016-01-26,4.7591186,,
2016-01-27,4.7639337,,
2016-01-28,4.745023,,
2016-01-29,4.7668447,,
2016-01-30,,,
2016-01-31,,,
2016-02-01,4.7715077,,
2016-02-02,4.7770224,,
2016-02-03,4.7814465,,
2016-02-04,4.779276,,
2016-02-05,4.7703586,,
2016-02-06,,,
2016-02-07,,,
2016-02-08,4.7782373,,
2016-02-09,4.7735405,,
2016-02-10,4.7772717,,
2016-02-11,4.77095,,
2016-02-12,4.7736874,,
2016-02-13,,,
2016-02-14,,,
2016-02-15,4.7797937,,
2016-02-16,4.7827797,,
2016-02-17,4.7768593,,
2016-02-18,4.7717423,,
2016-02-19,4.772983,,
2016-02-20,,,
2016-02-21,,,
2016-02-22,4.781292,,
2016-02-23,4.7772923,,
2016-02-24,4.7830286,,
2016-02-25,4.7824454,,
2016-02-26,4.775123,,
2016-02-27,,,
2016-02-28,,,
2016-02-29,4.7739697,,
2016-03-01,4.663678,,
2016-03-02,4.721646,,
2016-03-03,4.7003765,,
2016-03-04,4.718289,,
2016-03-05,,,
2016-03-06,,,
2016-03-07,4.709628,,
2016-03-08,4.68266,,
2016-03-09,4.660507,,
2016-03-10,4.669139,,
2016-03-11,4.669535,,
2016-03-12,,,
2016-03-13,,,
2016-03-14,4.6590605,,
2016-03-15,4.6614094,,
2016-03-16,4.6599345,,
2016-03-17,4.658404,,
2016-03-18,4.690463,,
2016-03-19,,,
2016-03-20,,,
2016-03-21,4.671147,,
2016-03-22,4.671302,,
2016-03-23,4.6508856,,
2016-03-24,4.6537204,,
2016-03-25,4.5676785,,
2016-03-26,,,
2016-03-27,,,
2016-03-28,4.6547475,,
2016-03-29,4.6571107,,
2016-03-30,4.661066,,
2016-03-31,4.651622,,
2016-04-01,4.651678,,
2016-04-02,,,
2016-04-03,,,
2016-04-04,4.649754,,
2016-04-05,4.660784,,
2016-04-06,4.663037,,
2016-04-07,4.660015,,
2016-04-08,4.6592917,,
2016-04-09,,,
2016-04-10,,,
2016-04-11,4.651257,,
2016-04-12,4.648193,,
2016-04-13,4.654931,,
2016-04-14,4.65497,,
2016-04-15,4.6579275,,
